,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
36,OVERSEAS PVT. LTD),39,0,39
37,AL SAMA INTERNATIONAL OVERSEAS PVT. LTD.,22,0,22
38,AL SAMIT INTERNATIONAL PVT. LTD.,1,0,1
39,AL SAMIT MANPOWER PVT. LTD.,7,0,7
40,AL SASHA OVERSEAS PVT.LTD.,9,0,9
41,AL SECURE MANPOWER RECRUITMENT PVT.LTD.,83,8,91
42,AL SHAHID OVERSEAS PVT.LTD,23,0,23
43,AL TAAZ INTERNATIONAL PVT.LTD.,82,1,83
44,AL ZARAFA HUMAN RESOURCE CONSULTANT PVT. LTD.,77,16,93
45,Alert Overseas Pvt. Ltd.,3,0,3
46,Alfarooque overseas pvt Ltd,32,0,32
47,Al-Harmain H.R. Pvt. Ltd.,50,0,50
48,AL-HAYAT MANAGEMENT SYSTEM PVT. LTD.,20,0,20
49,AL-HERA OVERSEAS PVT. LTD.,5,0,5
50,ALI OVERSEAS PVT. LTD.,1,0,1
51,AL-KARIM HUMAN RESOURCES PVT.LTD.,32,0,32
52,All asia overseas pvt.ltd,125,16,141
53,ALL CORNICE OVERSEAS SERVICE PVT. LTD.,1,0,1
54,ALL RAHIM MANPOWER PVT.LTD.,0,1,1
55,ALL SKILLS INTERNRNATIONAL HUMAN RESOURCE PVT.LTD,60,0,60
56,ALLIANCE HUMAN RESOURCES,25,6,31
57,All-Solution Employment Service Pvt. Ltd.,34,0,34
,ALMIGHTY INTERNATIONAL MANPOWER SERVICES,,,
58,PVT.LTD.(Jaya Shree Hanuman),5,2,7
59,AL-MOON OVERSEAS PVT. LTD.,35,0,35
60,ALON OVERSEAS PVT.LTD.,2,0,2
,ALPHA SIGMA HUMAN RESOURCES MANAGEMENT,,,
61,PVT.LTD.,1,0,1
62,ALPHA SIGMA OVERSEAS PVT. LTD.,23,7,30
63,AL-SAHELI MANPOWER PVT. LTD.,131,1,132
,"AL-TAUQET OVERSEAS,NEPAL PVT.LTD(ABICHAL OVERSEAS",,,
64,PVT. LTD. ),39,5,44
65,AL-ZAFAR INTERNATIONAL PVT. LTD.,64,0,64
66,"AMAN OVERSEAS PVT. LTD,",4,13,17
67,Amcon Overseas Pvt. Ltd.,141,0,141
68,AMITY GLOBAL EMPLOYMENT SERVICES PVT. LTD.,25,0,25
69,ANAMOL OVERSEAS PVT. LTD.,1,0,1
70,ANJALI OVERSEAS SERVICE PVT. LTD.,51,2,53
71,ANJULIMA INTERNATIONAL PVT. LTD.,60,0,60
72,ANNAPURNA INTERNATIONAL SERVICES PVT. LTD.,150,0,150
73,AP OVERSEAS PVT. LTD.,15,0,15
74,Api Manpower Solutions Pvt Ltd,84,0,84
75,APOLLO MENPOWER SERVICES PVT.LTD.,40,1,41
76,APPLE OVERSEAS PVT. LTD.,36,0,36
77,APPOLO OVERSEAS SERVICES (P) LTD.,65,0,65
78,apps services pvt.ltd,8,25,33
79,ARAB RECRUITING SERVICES PVT. LTD.,1,0,1
80,ARANIKO OVERSEAS PVT. LTD.,5,0,5
81,AROUND THE WORLDS SERVICES,2,0,2
82,ASEANA INTERNATIONAL PVT.LTD.,19,0,19
83,ASHA INTERNATIONAL PVT. LTD.,5,0,5
84,ASHUTOSH MANPOWER CONSULTANCY PVT. LTD.,138,1,139
85,ASIA LINK SERVICES PVT. LTD.,44,0,44
86,ASIA PACIFIC RECRUITMENT SERVICE PVT. LTD.,20,0,20
87,ASIAPOWER RECRUITMENT CONSULTANTS PVT.LTD.,84,0,84
88,ASLESHA INTERNATIONAL PVT LTD,23,3,26
89,ASMITA INTERNATIONAL OVERSES P. LTD.,16,0,16
90,ASSOCIATES WELCOME INTERNATIONAL PVT. LTD.,1,0,1
91,AURORA HUMAN RESOURCE PVT. LTD.,16,0,16
,AURUM CONSULTING PVT. LTD.(WHITE PEARL,,,
92,RECRUITMENT SERVICES PVT.LTD.),20,0,20
93,Avion Human Resource Management Pvt. Ltd.,10,1,11
94,AVIOSUPPORT HUMAN RESOURCES PVT LTD,0,5,5
95,AYUSH INTERNATIONAL OVERSEAS SERVICES PVT. LTD.,113,10,123
